HomeTeam,AwayTeam,HomeScore,AwayScore,Date,Competition,Country,Matchday
Atletico Baleares,UD Ibiza,0,2,2020-03-08,Segunda B,Spain,28
Burgos,Arenas Getxo,2,2,2020-03-08,Segunda B,Spain,28
BarakaldoCF,Calahorra,1,1,2020-03-08,Segunda B,Spain,28
Rec de Huelva,Marbella,0,0,2020-03-08,Segunda B,Spain,28
Granada CFB,CA Linense,0,0,2020-03-08,Segunda B,Spain,28
Las Rozas,Las Palmas Atletico,2,0,2020-03-08,Segunda B,Spain,28
Murcia Feminas,Don Benito,2,1,2020-03-08,Segunda B,Spain,28
Alaves II,RealValladolidB,1,1,2020-03-08,Segunda B,Spain,28
Atletico Madrid B,Ferrol,2,2,2020-03-08,Segunda B,Spain,28
Real Sociedad B,Haro,1,1,2020-03-08,Segunda B,Spain,28
CDIzarra,Salamanca B,1,1,2020-03-08,Segunda B,Spain,28
Cornella,Levante B,1,0,2020-03-08,Segunda B,Spain,28
CD Badajoz,UCAM Murcia,2,1,2020-03-08,Segunda B,Spain,28
UE Olot,Badalona,2,0,2020-03-08,Segunda B,Spain,28
Cordoba,Cartagena FC,0,2,2020-03-08,Segunda B,Spain,28
Barcelona B,lagostera,3,2,2020-03-08,Segunda B,Spain,28
SCR Pena Deportiva,Internacional,0,0,2020-03-08,Segunda B,Spain,28
CadizCF B,CF Talavera,1,0,2020-03-08,Segunda B,Spain,28
Castellon,Prat,1,3,2020-03-08,Segunda B,Spain,28
Getafe B,Pontevedra,2,3,2020-03-08,Segunda B,Spain,28
Celta Vigo B,UD San Sebastian Reyes,2,1,2020-03-08,Segunda B,Spain,28
Ebro,Hercules,0,0,2020-03-08,Segunda B,Spain,28
FC Andorra,Orihuela,2,1,2020-03-08,Segunda B,Spain,28
Algeciras,San Fernando,1,1,2020-03-08,Segunda B,Spain,28
CF La Nucia,Gimnastic,2,0,2020-03-08,Segunda B,Spain,28
Yeclano Deportivo,Merida AD,2,2,2020-03-08,Segunda B,Spain,28
Lida,VillarrealB,3,0,2020-03-08,Segunda B,Spain,28
Real Oviedo II,Sporting Gijon,3,2,2020-03-08,Segunda B,Spain,28
Melilla,Rayo Majadahonda,0,3,2020-03-08,Segunda B,Spain,28
UD Logrones,SD Amorebieta,1,1,2020-03-08,Segunda B,Spain,28
Sevilla Atletico,CP Villarrobledo,2,2,2020-03-08,Segunda B,Spain,28
Valencia CFB,Ejea,1,1,2020-03-07,Segunda B,Spain,28
Club Marinode Luanco,UP Langreo,1,2,2020-03-07,Segunda B,Spain,28
CDGuijuelo,CD Tudelano,0,0,2020-03-07,Segunda B,Spain,28
Leioa SD,Cultural Leonesa,2,4,2020-03-07,Segunda B,Spain,28
Real Madrid Castilla,Coruxo FC,4,0,2020-03-07,Segunda B,Spain,28
Salamanca,OsasunaB,4,0,2020-03-07,Segunda B,Spain,28
RCD Espanyol B,CESabadell,4,2,2020-03-07,Segunda B,Spain,28
Athletic Bilbao B,Real Union Irun,3,3,2020-03-07,Segunda B,Spain,28
Villarrubia,At Sanluqueno,1,0,2020-03-07,Segunda B,Spain,28
CD Tudelano,Salamanca,3,1,2020-03-01,Segunda B,Spain,27
Sporting Gijon,Atletico Baleares,2,0,2020-03-01,Segunda B,Spain,27
SCR Pena Deportiva,Club Marinode Luanco,4,0,2020-03-01,Segunda B,Spain,27
UP Langreo,Las Rozas,1,0,2020-03-01,Segunda B,Spain,27
UCAM Murcia,Yeclano Deportivo,3,1,2020-03-01,Segunda B,Spain,27
Salamanca B,CDGuijuelo,0,0,2020-03-01,Segunda B,Spain,27
Coruxo FC,Atletico Madrid B,3,0,2020-03-01,Segunda B,Spain,27
Levante B,Ebro,1,2,2020-03-01,Segunda B,Spain,27
Orihuela,Barcelona B,0,0,2020-03-01,Segunda B,Spain,27
Badalona,CF La Nucia,2,2,2020-03-01,Segunda B,Spain,27
Cartagena FC,Marbella,0,0,2020-03-01,Segunda B,Spain,27
Internacional,UD Ibiza,2,1,2020-03-01,Segunda B,Spain,27
San Fernando,CadizCF B,2,0,2020-03-01,Segunda B,Spain,27
Ejea,Castellon,0,1,2020-03-01,Segunda B,Spain,27
UD San Sebastian Reyes,Getafe B,1,1,2020-03-01,Segunda B,Spain,27
Rayo Majadahonda,Celta Vigo B,1,2,2020-03-01,Segunda B,Spain,27
Pontevedra,Real Madrid Castilla,4,0,2020-03-01,Segunda B,Spain,27
Hercules,FC Andorra,0,0,2020-03-01,Segunda B,Spain,27
Cordoba,Algeciras,0,1,2020-03-01,Segunda B,Spain,27
Gimnastic,Valencia CFB,2,1,2020-03-01,Segunda B,Spain,27
CESabadell,lagostera,1,1,2020-03-01,Segunda B,Spain,27
Prat,Lida,0,0,2020-03-01,Segunda B,Spain,27
Alaves II,Real Sociedad B,3,2,2020-03-01,Segunda B,Spain,27
CP Villarrobledo,CD Badajoz,1,3,2020-03-01,Segunda B,Spain,27
Don Benito,Villarrubia,5,0,2020-03-01,Segunda B,Spain,27
CA Linense,Rec de Huelva,1,0,2020-03-01,Segunda B,Spain,27
Calahorra,Leioa SD,0,0,2020-03-01,Segunda B,Spain,27
Haro,BarakaldoCF,0,0,2020-03-01,Segunda B,Spain,27
CF Talavera,Sevilla Atletico,1,0,2020-03-01,Segunda B,Spain,27
Merida AD,Murcia Feminas,1,0,2020-03-01,Segunda B,Spain,27
Las Palmas Atletico,Melilla,1,0,2020-03-01,Segunda B,Spain,27
SD Amorebieta,Athletic Bilbao B,2,1,2020-02-29,Segunda B,Spain,27
OsasunaB,Burgos,0,0,2020-02-29,Segunda B,Spain,27
Cultural Leonesa,CDIzarra,1,1,2020-02-29,Segunda B,Spain,27
RealValladolidB,Real Union Irun,1,0,2020-02-29,Segunda B,Spain,27
Ferrol,Real Oviedo II,2,0,2020-02-29,Segunda B,Spain,27
VillarrealB,Cornella,0,0,2020-02-29,Segunda B,Spain,27
At Sanluqueno,Granada CFB,0,2,2020-02-29,Segunda B,Spain,27
Arenas Getxo,UD Logrones,1,2,2020-02-29,Segunda B,Spain,27
RCD Espanyol B,UE Olot,1,5,2020-02-29,Segunda B,Spain,27
Algeciras,Cartagena FC,1,1,2020-02-23,Segunda B,Spain,26
Yeclano Deportivo,CP Villarrobledo,1,0,2020-02-23,Segunda B,Spain,26
Murcia Feminas,UCAM Murcia,3,1,2020-02-23,Segunda B,Spain,26
Valencia CFB,Badalona,0,0,2020-02-23,Segunda B,Spain,26
Marbella,CA Linense,0,0,2020-02-23,Segunda B,Spain,26
UD Ibiza,Sporting Gijon,1,0,2020-02-23,Segunda B,Spain,26
UE Olot,CESabadell,1,1,2020-02-23,Segunda B,Spain,26
Club Marinode Luanco,Internacional,0,0,2020-02-23,Segunda B,Spain,26
Atletico Baleares,Ferrol,1,0,2020-02-23,Segunda B,Spain,26
Real Madrid Castilla,UD San Sebastian Reyes,2,0,2020-02-23,Segunda B,Spain,26
CadizCF B,Cordoba,1,1,2020-02-23,Segunda B,Spain,26
Ebro,VillarrealB,2,1,2020-02-23,Segunda B,Spain,26
Cornella,Prat,0,0,2020-02-23,Segunda B,Spain,26
BarakaldoCF,Alaves II,1,1,2020-02-23,Segunda B,Spain,26
Real Union Irun,SD Amorebieta,0,1,2020-02-23,Segunda B,Spain,26
Castellon,Gimnastic,3,2,2020-02-23,Segunda B,Spain,26
Getafe B,Rayo Majadahonda,3,0,2020-02-23,Segunda B,Spain,26
CF La Nucia,RCD Espanyol B,2,0,2020-02-23,Segunda B,Spain,26
Rec de Huelva,At Sanluqueno,2,0,2020-02-23,Segunda B,Spain,26
Burgos,CD Tudelano,3,0,2020-02-23,Segunda B,Spain,26
Celta Vigo B,Las Palmas Atletico,1,0,2020-02-23,Segunda B,Spain,26
Lida,Ejea,2,0,2020-02-23,Segunda B,Spain,26
Las Rozas,SCR Pena Deportiva,1,1,2020-02-23,Segunda B,Spain,26
Real Sociedad B,RealValladolidB,1,1,2020-02-23,Segunda B,Spain,26
Sevilla Atletico,San Fernando,1,0,2020-02-23,Segunda B,Spain,26
UD Logrones,OsasunaB,2,1,2020-02-23,Segunda B,Spain,26
lagostera,Orihuela,1,1,2020-02-23,Segunda B,Spain,26
Salamanca,Salamanca B,1,1,2020-02-23,Segunda B,Spain,26
Granada CFB,Don Benito,1,0,2020-02-23,Segunda B,Spain,26
Melilla,UP Langreo,2,0,2020-02-23,Segunda B,Spain,26
Atletico Madrid B,Pontevedra,1,1,2020-02-23,Segunda B,Spain,26
CDIzarra,Calahorra,1,1,2020-02-23,Segunda B,Spain,26
CDGuijuelo,Cultural Leonesa,3,1,2020-02-23,Segunda B,Spain,26
FC Andorra,Levante B,0,1,2020-02-23,Segunda B,Spain,26
Barcelona B,Hercules,0,0,2020-02-22,Segunda B,Spain,26
Real Oviedo II,Coruxo FC,1,0,2020-02-22,Segunda B,Spain,26
Leioa SD,Haro,2,2,2020-02-22,Segunda B,Spain,26
CD Badajoz,CF Talavera,2,0,2020-02-22,Segunda B,Spain,26
Villarrubia,Merida AD,5,1,2020-02-22,Segunda B,Spain,26
Athletic Bilbao B,Arenas Getxo,1,1,2020-02-22,Segunda B,Spain,26
Pontevedra,Real Oviedo II,0,1,2020-02-16,Segunda B,Spain,25
Prat,Ebro,0,0,2020-02-16,Segunda B,Spain,25
Ejea,Cornella,0,1,2020-02-16,Segunda B,Spain,25
Alaves II,Leioa SD,0,0,2020-02-16,Segunda B,Spain,25
CF Talavera,Yeclano Deportivo,0,0,2020-02-16,Segunda B,Spain,25
Don Benito,Rec de Huelva,2,1,2020-02-16,Segunda B,Spain,25
RCD Espanyol B,Valencia CFB,0,0,2020-02-16,Segunda B,Spain,25
Levante B,Barcelona B,1,2,2020-02-16,Segunda B,Spain,25
VillarrealB,FC Andorra,2,1,2020-02-16,Segunda B,Spain,25
Algeciras,CadizCF B,1,1,2020-02-16,Segunda B,Spain,25
UP Langreo,Celta Vigo B,2,1,2020-02-16,Segunda B,Spain,25
Club Marinode Luanco,Las Rozas,0,0,2020-02-16,Segunda B,Spain,25
Coruxo FC,Atletico Baleares,1,1,2020-02-16,Segunda B,Spain,25
SCR Pena Deportiva,Melilla,2,1,2020-02-16,Segunda B,Spain,25
Gimnastic,Lida,1,1,2020-02-16,Segunda B,Spain,25
CESabadell,Orihuela,2,1,2020-02-16,Segunda B,Spain,25
Hercules,lagostera,0,0,2020-02-16,Segunda B,Spain,25
Cultural Leonesa,Salamanca,1,0,2020-02-16,Segunda B,Spain,25
UE Olot,CF La Nucia,4,0,2020-02-16,Segunda B,Spain,25
CP Villarrobledo,Murcia Feminas,0,0,2020-02-16,Segunda B,Spain,25
Haro,CDIzarra,3,1,2020-02-16,Segunda B,Spain,25
Real Sociedad B,BarakaldoCF,2,4,2020-02-16,Segunda B,Spain,25
Las Palmas Atletico,Getafe B,0,1,2020-02-16,Segunda B,Spain,25
Merida AD,Granada CFB,1,1,2020-02-16,Segunda B,Spain,25
Calahorra,CDGuijuelo,1,2,2020-02-16,Segunda B,Spain,25
CD Tudelano,UD Logrones,0,1,2020-02-16,Segunda B,Spain,25
Cordoba,Sevilla Atletico,2,1,2020-02-16,Segunda B,Spain,25
San Fernando,CD Badajoz,2,1,2020-02-16,Segunda B,Spain,25
At Sanluqueno,Marbella,1,2,2020-02-16,Segunda B,Spain,25
Badalona,Castellon,1,1,2020-02-16,Segunda B,Spain,25
Internacional,Sporting Gijon,1,1,2020-02-16,Segunda B,Spain,25
UCAM Murcia,Villarrubia,0,0,2020-02-16,Segunda B,Spain,25
Ferrol,UD Ibiza,1,0,2020-02-16,Segunda B,Spain,25
Rayo Majadahonda,Real Madrid Castilla,2,2,2020-02-16,Segunda B,Spain,25
Cartagena FC,CA Linense,3,2,2020-02-16,Segunda B,Spain,25
Salamanca B,Burgos,0,1,2020-02-16,Segunda B,Spain,25
OsasunaB,Athletic Bilbao B,1,1,2020-02-15,Segunda B,Spain,25
Arenas Getxo,Real Union Irun,0,0,2020-02-15,Segunda B,Spain,25
UD San Sebastian Reyes,Atletico Madrid B,0,1,2020-02-15,Segunda B,Spain,25
RealValladolidB,SD Amorebieta,4,0,2020-02-15,Segunda B,Spain,25
Orihuela,Hercules,1,0,2020-02-09,Segunda B,Spain,24
Barcelona B,VillarrealB,2,3,2020-02-09,Segunda B,Spain,24
Lida,Badalona,3,0,2020-02-09,Segunda B,Spain,24
CF La Nucia,CESabadell,1,0,2020-02-09,Segunda B,Spain,24
BarakaldoCF,RealValladolidB,3,1,2020-02-09,Segunda B,Spain,24
lagostera,Levante B,1,3,2020-02-09,Segunda B,Spain,24
UD Logrones,Salamanca B,1,0,2020-02-09,Segunda B,Spain,24
Las Rozas,Internacional,3,0,2020-02-09,Segunda B,Spain,24
UD Ibiza,Coruxo FC,2,0,2020-02-09,Segunda B,Spain,24
Burgos,Cultural Leonesa,2,0,2020-02-09,Segunda B,Spain,24
Sporting Gijon,Ferrol,0,1,2020-02-09,Segunda B,Spain,24
Castellon,RCD Espanyol B,1,0,2020-02-09,Segunda B,Spain,24
Getafe B,UP Langreo,0,2,2020-02-09,Segunda B,Spain,24
Real Union Irun,OsasunaB,1,1,2020-02-09,Segunda B,Spain,24
Melilla,Club Marinode Luanco,2,1,2020-02-09,Segunda B,Spain,24
Ebro,Ejea,1,1,2020-02-09,Segunda B,Spain,24
CDGuijuelo,Haro,2,0,2020-02-09,Segunda B,Spain,24
Real Madrid Castilla,Las Palmas Atletico,3,1,2020-02-09,Segunda B,Spain,24
Cornella,Gimnastic,1,1,2020-02-09,Segunda B,Spain,24
Celta Vigo B,SCR Pena Deportiva,3,1,2020-02-09,Segunda B,Spain,24
Yeclano Deportivo,San Fernando,0,5,2020-02-09,Segunda B,Spain,24
CA Linense,At Sanluqueno,1,0,2020-02-09,Segunda B,Spain,24
Murcia Feminas,CF Talavera,0,1,2020-02-09,Segunda B,Spain,24
Valencia CFB,UE Olot,2,2,2020-02-09,Segunda B,Spain,24
Atletico Madrid B,Rayo Majadahonda,0,1,2020-02-09,Segunda B,Spain,24
Rec de Huelva,Merida AD,3,3,2020-02-09,Segunda B,Spain,24
CD Badajoz,Cordoba,0,1,2020-02-09,Segunda B,Spain,24
Sevilla Atletico,Algeciras,3,2,2020-02-09,Segunda B,Spain,24
Marbella,Don Benito,1,0,2020-02-09,Segunda B,Spain,24
Granada CFB,UCAM Murcia,0,1,2020-02-09,Segunda B,Spain,24
CadizCF B,Cartagena FC,1,1,2020-02-09,Segunda B,Spain,24
Atletico Baleares,Pontevedra,3,1,2020-02-09,Segunda B,Spain,24
FC Andorra,Prat,1,2,2020-02-08,Segunda B,Spain,24
Athletic Bilbao B,CD Tudelano,1,0,2020-02-08,Segunda B,Spain,24
Leioa SD,Real Sociedad B,0,2,2020-02-08,Segunda B,Spain,24
CDIzarra,Alaves II,1,0,2020-02-08,Segunda B,Spain,24
Salamanca,Calahorra,2,2,2020-02-08,Segunda B,Spain,24
SD Amorebieta,Arenas Getxo,0,0,2020-02-08,Segunda B,Spain,24
Villarrubia,CP Villarrobledo,0,0,2020-02-08,Segunda B,Spain,24
Real Oviedo II,UD San Sebastian Reyes,1,1,2020-02-08,Segunda B,Spain,24
CF La Nucia,Lida,2,1,2020-02-05,Segunda B,Spain,21
Cordoba,Yeclano Deportivo,2,1,2020-02-02,Segunda B,Spain,23
CadizCF B,Sevilla Atletico,1,2,2020-02-02,Segunda B,Spain,23
Don Benito,CA Linense,2,2,2020-02-02,Segunda B,Spain,23
Ejea,FC Andorra,1,1,2020-02-02,Segunda B,Spain,23
Internacional,Ferrol,1,0,2020-02-02,Segunda B,Spain,23
UE Olot,Castellon,1,0,2020-02-02,Segunda B,Spain,23
Cultural Leonesa,UD Logrones,0,2,2020-02-02,Segunda B,Spain,23
Badalona,Cornella,0,2,2020-02-02,Segunda B,Spain,23
Alaves II,CDGuijuelo,2,0,2020-02-02,Segunda B,Spain,23
SCR Pena Deportiva,Getafe B,2,0,2020-02-02,Segunda B,Spain,23
CD Tudelano,Real Union Irun,2,2,2020-02-02,Segunda B,Spain,23
Gimnastic,Ebro,4,1,2020-02-02,Segunda B,Spain,23
Levante B,Orihuela,1,1,2020-02-02,Segunda B,Spain,23
Las Palmas Atletico,Atletico Madrid B,1,0,2020-02-02,Segunda B,Spain,23
Haro,Salamanca,1,0,2020-02-02,Segunda B,Spain,23
Club Marinode Luanco,Celta Vigo B,1,1,2020-02-02,Segunda B,Spain,23
Cartagena FC,At Sanluqueno,2,0,2020-02-02,Segunda B,Spain,23
CP Villarrobledo,Granada CFB,0,2,2020-02-02,Segunda B,Spain,23
San Fernando,Murcia Feminas,3,3,2020-02-02,Segunda B,Spain,23
Calahorra,Burgos,0,3,2020-02-02,Segunda B,Spain,23
UP Langreo,Real Madrid Castilla,1,1,2020-02-02,Segunda B,Spain,23
Prat,Barcelona B,1,2,2020-02-02,Segunda B,Spain,23
CESabadell,Hercules,1,2,2020-02-02,Segunda B,Spain,23
RealValladolidB,Arenas Getxo,1,1,2020-02-02,Segunda B,Spain,23
UCAM Murcia,Rec de Huelva,1,0,2020-02-02,Segunda B,Spain,23
Algeciras,CD Badajoz,1,0,2020-02-02,Segunda B,Spain,23
Merida AD,Marbella,0,0,2020-02-02,Segunda B,Spain,23
Coruxo FC,Sporting Gijon,3,1,2020-02-02,Segunda B,Spain,23
CF Talavera,Villarrubia,1,1,2020-02-02,Segunda B,Spain,23
Rayo Majadahonda,Real Oviedo II,1,1,2020-02-02,Segunda B,Spain,23
BarakaldoCF,Leioa SD,1,2,2020-02-02,Segunda B,Spain,23
CF La Nucia,Valencia CFB,0,0,2020-02-02,Segunda B,Spain,23
Pontevedra,UD Ibiza,0,0,2020-02-02,Segunda B,Spain,23
UD San Sebastian Reyes,Atletico Baleares,0,1,2020-02-02,Segunda B,Spain,23
Las Rozas,Melilla,0,1,2020-02-02,Segunda B,Spain,23
OsasunaB,SD Amorebieta,3,2,2020-02-01,Segunda B,Spain,23
VillarrealB,lagostera,4,1,2020-02-01,Segunda B,Spain,23
Real Sociedad B,CDIzarra,3,1,2020-02-01,Segunda B,Spain,23
RCD Espanyol B,Lida,2,2,2020-02-01,Segunda B,Spain,23
Salamanca B,Athletic Bilbao B,1,1,2020-02-01,Segunda B,Spain,23
Ferrol,Coruxo FC,0,1,2020-01-26,Segunda B,Spain,22
UD Ibiza,UD San Sebastian Reyes,2,0,2020-01-26,Segunda B,Spain,22
At Sanluqueno,Don Benito,0,0,2020-01-26,Segunda B,Spain,22
UD Logrones,Calahorra,0,0,2020-01-26,Segunda B,Spain,22
Hercules,Levante B,1,3,2020-01-26,Segunda B,Spain,22
Getafe B,Club Marinode Luanco,1,2,2020-01-26,Segunda B,Spain,22
Sevilla Atletico,Cartagena FC,1,0,2020-01-26,Segunda B,Spain,22
Atletico Baleares,Rayo Majadahonda,1,0,2020-01-26,Segunda B,Spain,22
Ebro,Badalona,2,1,2020-01-26,Segunda B,Spain,22
Melilla,Internacional,1,1,2020-01-26,Segunda B,Spain,22
Castellon,CF La Nucia,3,0,2020-01-26,Segunda B,Spain,22
Sporting Gijon,Pontevedra,3,1,2020-01-26,Segunda B,Spain,22
Burgos,Haro,1,1,2020-01-26,Segunda B,Spain,22
CD Badajoz,CadizCF B,0,0,2020-01-26,Segunda B,Spain,22
CDIzarra,BarakaldoCF,1,0,2020-01-26,Segunda B,Spain,22
CA Linense,Merida AD,0,0,2020-01-26,Segunda B,Spain,22
Real Oviedo II,Las Palmas Atletico,0,0,2020-01-26,Segunda B,Spain,22
Rec de Huelva,CP Villarrobledo,1,1,2020-01-26,Segunda B,Spain,22
Orihuela,VillarrealB,1,2,2020-01-26,Segunda B,Spain,22
Real Union Irun,Salamanca B,0,1,2020-01-26,Segunda B,Spain,22
Salamanca,Alaves II,4,2,2020-01-26,Segunda B,Spain,22
CDGuijuelo,Real Sociedad B,3,0,2020-01-26,Segunda B,Spain,22
Atletico Madrid B,UP Langreo,4,0,2020-01-26,Segunda B,Spain,22
Valencia CFB,CESabadell,0,3,2020-01-26,Segunda B,Spain,22
Athletic Bilbao B,Cultural Leonesa,1,0,2020-01-26,Segunda B,Spain,22
Cornella,RCD Espanyol B,1,0,2020-01-26,Segunda B,Spain,22
Granada CFB,CF Talavera,0,0,2020-01-26,Segunda B,Spain,22
Marbella,UCAM Murcia,4,0,2020-01-26,Segunda B,Spain,22
Murcia Feminas,Cordoba,1,0,2020-01-26,Segunda B,Spain,22
FC Andorra,Gimnastic,0,0,2020-01-26,Segunda B,Spain,22
Yeclano Deportivo,Algeciras,4,1,2020-01-26,Segunda B,Spain,22
Real Madrid Castilla,SCR Pena Deportiva,3,1,2020-01-26,Segunda B,Spain,22
Leioa SD,RealValladolidB,1,1,2020-01-25,Segunda B,Spain,22
Arenas Getxo,OsasunaB,0,2,2020-01-25,Segunda B,Spain,22
Barcelona B,Ejea,2,0,2020-01-25,Segunda B,Spain,22
Villarrubia,San Fernando,3,0,2020-01-25,Segunda B,Spain,22
SD Amorebieta,CD Tudelano,5,1,2020-01-25,Segunda B,Spain,22
lagostera,Prat,1,1,2020-01-25,Segunda B,Spain,22
Lida,UE Olot,1,1,2020-01-25,Segunda B,Spain,22
Celta Vigo B,Las Rozas,2,4,2020-01-25,Segunda B,Spain,22
Calahorra,Athletic Bilbao B,2,3,2020-01-19,Segunda B,Spain,21
CF Talavera,Rec de Huelva,0,1,2020-01-19,Segunda B,Spain,21
Cartagena FC,Don Benito,1,1,2020-01-19,Segunda B,Spain,21
UD San Sebastian Reyes,Sporting Gijon,1,0,2020-01-19,Segunda B,Spain,21
Ejea,lagostera,1,0,2020-01-19,Segunda B,Spain,21
CESabadell,Levante B,1,0,2020-01-19,Segunda B,Spain,21
Merida AD,At Sanluqueno,0,0,2020-01-19,Segunda B,Spain,21
Valencia CFB,Castellon,1,2,2020-01-19,Segunda B,Spain,21
Sevilla Atletico,CD Badajoz,1,1,2020-01-19,Segunda B,Spain,21
RealValladolidB,OsasunaB,2,0,2020-01-19,Segunda B,Spain,21
Prat,Orihuela,2,2,2020-01-19,Segunda B,Spain,21
Cultural Leonesa,Real Union Irun,0,0,2020-01-19,Segunda B,Spain,21
Melilla,Celta Vigo B,1,0,2020-01-19,Segunda B,Spain,21
CP Villarrobledo,Marbella,1,4,2020-01-19,Segunda B,Spain,21
Salamanca B,SD Amorebieta,0,3,2020-01-19,Segunda B,Spain,21
Cordoba,Villarrubia,1,1,2020-01-19,Segunda B,Spain,21
Internacional,Coruxo FC,0,2,2020-01-19,Segunda B,Spain,21
San Fernando,Granada CFB,2,3,2020-01-19,Segunda B,Spain,21
UP Langreo,Real Oviedo II,2,0,2020-01-19,Segunda B,Spain,21
RCD Espanyol B,Ebro,2,2,2020-01-19,Segunda B,Spain,21
Las Rozas,Getafe B,1,1,2020-01-19,Segunda B,Spain,21
Club Marinode Luanco,Real Madrid Castilla,1,0,2020-01-19,Segunda B,Spain,21
Pontevedra,Ferrol,0,0,2020-01-19,Segunda B,Spain,21
Rayo Majadahonda,UD Ibiza,0,1,2020-01-19,Segunda B,Spain,21
UE Olot,Cornella,1,1,2020-01-19,Segunda B,Spain,21
Badalona,FC Andorra,0,0,2020-01-19,Segunda B,Spain,21
CadizCF B,Yeclano Deportivo,2,0,2020-01-19,Segunda B,Spain,21
BarakaldoCF,CDGuijuelo,0,1,2020-01-19,Segunda B,Spain,21
UCAM Murcia,CA Linense,4,3,2020-01-19,Segunda B,Spain,21
Alaves II,Burgos,2,2,2020-01-19,Segunda B,Spain,21
CD Tudelano,Arenas Getxo,1,1,2020-01-19,Segunda B,Spain,21
Las Palmas Atletico,Atletico Baleares,2,1,2020-01-19,Segunda B,Spain,21
SCR Pena Deportiva,Atletico Madrid B,3,1,2020-01-19,Segunda B,Spain,21
Haro,UD Logrones,1,2,2020-01-19,Segunda B,Spain,21
Algeciras,Murcia Feminas,0,1,2020-01-19,Segunda B,Spain,21
Gimnastic,Barcelona B,1,0,2020-01-19,Segunda B,Spain,21
VillarrealB,Hercules,1,0,2020-01-18,Segunda B,Spain,21
Real Sociedad B,Salamanca,0,0,2020-01-18,Segunda B,Spain,21
Leioa SD,CDIzarra,3,1,2020-01-18,Segunda B,Spain,21
Rec de Huelva,San Fernando,1,3,2020-01-15,Segunda B,Spain,20
Ebro,UE Olot,1,2,2020-01-15,Segunda B,Spain,20
UD Logrones,Alaves II,0,0,2020-01-15,Segunda B,Spain,20
Cornella,CF La Nucia,1,0,2020-01-15,Segunda B,Spain,20
SD Amorebieta,Cultural Leonesa,1,3,2020-01-15,Segunda B,Spain,20
Murcia Feminas,CadizCF B,3,1,2020-01-15,Segunda B,Spain,20
Marbella,CF Talavera,0,0,2020-01-15,Segunda B,Spain,20
Sporting Gijon,Rayo Majadahonda,1,0,2020-01-15,Segunda B,Spain,20
Don Benito,Merida AD,1,2,2020-01-15,Segunda B,Spain,20
lagostera,Gimnastic,0,0,2020-01-15,Segunda B,Spain,20
Yeclano Deportivo,Sevilla Atletico,1,0,2020-01-15,Segunda B,Spain,20
Salamanca,BarakaldoCF,1,0,2020-01-15,Segunda B,Spain,20
Ferrol,UD San Sebastian Reyes,0,2,2020-01-15,Segunda B,Spain,20
Athletic Bilbao B,Haro,2,3,2020-01-15,Segunda B,Spain,20
At Sanluqueno,UCAM Murcia,2,1,2020-01-15,Segunda B,Spain,20
Orihuela,Ejea,2,0,2020-01-15,Segunda B,Spain,20
UD Ibiza,Las Palmas Atletico,1,0,2020-01-15,Segunda B,Spain,20
CD Badajoz,Cartagena FC,2,1,2020-01-15,Segunda B,Spain,20
Barcelona B,Badalona,2,1,2020-01-15,Segunda B,Spain,20
FC Andorra,RCD Espanyol B,0,3,2020-01-12,Segunda B,Spain,20
CDGuijuelo,Leioa SD,0,0,2020-01-12,Segunda B,Spain,20
Real Madrid Castilla,Las Rozas,2,2,2020-01-12,Segunda B,Spain,20
Celta Vigo B,Internacional,5,0,2020-01-12,Segunda B,Spain,20
Atletico Madrid B,Club Marinode Luanco,3,0,2020-01-12,Segunda B,Spain,20
Real Oviedo II,SCR Pena Deportiva,1,3,2020-01-12,Segunda B,Spain,20
Granada CFB,Cordoba,0,2,2020-01-12,Segunda B,Spain,20
Castellon,CESabadell,0,1,2020-01-12,Segunda B,Spain,20
Coruxo FC,Pontevedra,0,0,2020-01-12,Segunda B,Spain,20
Getafe B,Melilla,2,0,2020-01-12,Segunda B,Spain,20
CA Linense,CP Villarrobledo,1,0,2020-01-12,Segunda B,Spain,20
Hercules,Prat,2,2,2020-01-12,Segunda B,Spain,20
Atletico Baleares,UP Langreo,3,1,2020-01-12,Segunda B,Spain,20
Burgos,Real Sociedad B,0,2,2020-01-12,Segunda B,Spain,20
Lida,Valencia CFB,2,1,2020-01-12,Segunda B,Spain,20
CDIzarra,RealValladolidB,2,2,2020-01-12,Segunda B,Spain,20
Real Union Irun,Calahorra,0,0,2020-01-11,Segunda B,Spain,20
Villarrubia,Algeciras,4,2,2020-01-11,Segunda B,Spain,20
OsasunaB,CD Tudelano,1,1,2020-01-11,Segunda B,Spain,20
Levante B,VillarrealB,1,1,2020-01-11,Segunda B,Spain,20
Arenas Getxo,Salamanca B,2,1,2020-01-11,Segunda B,Spain,20
Celta Vigo B,Real Madrid Castilla,0,1,2020-01-08,Segunda B,Spain,18
Real Madrid Castilla,Melilla,1,2,2020-01-05,Segunda B,Spain,19
Levante B,Prat,2,0,2020-01-05,Segunda B,Spain,19
Don Benito,UCAM Murcia,1,3,2020-01-05,Segunda B,Spain,19
Coruxo FC,UD San Sebastian Reyes,2,0,2020-01-05,Segunda B,Spain,19
Atletico Madrid B,Las Rozas,1,1,2020-01-05,Segunda B,Spain,19
Yeclano Deportivo,CD Badajoz,3,0,2020-01-05,Segunda B,Spain,19
